DATE,POPTOTCAA647NWDB
1960-01-01,17909356
1961-01-01,18271000
1962-01-01,18614000
1963-01-01,18964000
1964-01-01,19325000
1965-01-01,19678000
1966-01-01,20048000
1967-01-01,20412000
1968-01-01,20744000
1969-01-01,21028000
1970-01-01,21324000
1971-01-01,21962032
1972-01-01,22218463
1973-01-01,22491777
1974-01-01,22807969
1975-01-01,23143275
1976-01-01,23449808
1977-01-01,23725843
1978-01-01,23963203
1979-01-01,24201544
1980-01-01,24515667
1981-01-01,24819915
1982-01-01,25116942
1983-01-01,25366451
1984-01-01,25607053
1985-01-01,25842116
1986-01-01,26100278
1987-01-01,26446601
1988-01-01,26791747
1989-01-01,27276781
1990-01-01,27691138
1991-01-01,28037420
1992-01-01,28371264
1993-01-01,28684764
1994-01-01,29000663
1995-01-01,29302311
1996-01-01,29610218
1997-01-01,29905948
1998-01-01,30155173
1999-01-01,30401286
2000-01-01,30685730
2001-01-01,31020902
2002-01-01,31360079
2003-01-01,31644028
2004-01-01,31940655
2005-01-01,32243753
2006-01-01,32571174
2007-01-01,32889025
2008-01-01,33247118
2009-01-01,33628895
2010-01-01,34004889
2011-01-01,34339328
2012-01-01,34714222
2013-01-01,35082954
2014-01-01,35437435
2015-01-01,35702908
2016-01-01,36109487
2017-01-01,36545236.0
2018-01-01,37065084.0
2019-01-01,37601230.0
2020-01-01,38007166
2021-01-01,38226498
2022-01-01,38929902
